is_female,age,race,employment_income,interest_dividend_income,pension_income,networth,wgt,transformed_networth
0,37.0,4,216182.36,0.0,0.0,4520000.0,3723.7170512761304,16.017169732368373
1,77.0,1,0.0,39993.74,90796.59,3340000.0,6760.352997867752,15.71462854551285
0,67.0,1,71340.18,0.0,34589.18,72500.0,13830.798296890836,11.884489021450277
0,46.0,1,194564.12,543698.6,0.0,179075000.0,61.60120208350757,19.696462451024733
0,81.0,1,0.0,1080.9119,48641.03,10294300.0,3810.330919284542,16.840248082520336
0,52.0,1,864729.44,48641.03,10809.118,11390500.0,854.5359255680703,16.941437413176093
0,53.0,3,166460.42,0.0,0.0,2371100.0,2609.4860732842217,15.372011721015058
1,72.0,1,0.0,21.618237,91877.51,1979800.0,5788.302636608002,15.191653568027853
0,69.0,1,1059.2936,43.236473,52964.68,1178200.0,11655.977316958784,14.67264558862985
0,28.0,1,73502.01,0.0,0.0,63400.0,23566.614709304704,11.750366321047458
0,43.0,1,220506.02,0.0,0.0,1610800.0,10072.983427333656,14.985388688519478
0,31.0,1,55126.504,0.0,0.0,457800.0,18031.7625480533,13.727334867061742
0,59.0,1,56207.414,0.0,0.0,-25720.0,7300.145188579544,-10.84817135928942
0,39.0,4,128628.51,1621.3677,0.0,15746600.0,3456.9488982576427,17.265282207476055
0,61.0,1,129709.42,2213707.5,0.0,19264300.0,35.54307705509014,17.466911380619074
0,62.0,1,20537.324,0.0,0.0,9280.0,6744.434290345889,9.828764009243171
0,76.0,1,183755.02,54.04559,114576.66,311100.0,3210.9373736744064,13.341016863448257
1,72.0,2,21618.236,0.0,27022.795,18980.0,2112.6179653294394,10.544288253417845
0,26.0,1,1080911.9,1080.9119,0.0,2085050.0,8558.17624191397,15.243450574302852
0,73.0,1,0.0,0.0,14051.854,6620.0,10361.833586419893,9.490997835195584
0,54.0,1,216182.36,0.0,0.0,1491040.0,10796.031095688437,14.90813160157954
1,53.0,2,8647.295,0.0,0.0,3561.0,1760.8997140375973,8.87094388355269
0,53.0,1,108091.18,0.0,0.0,6600.0,5069.667909875064,9.487972114313672
0,60.0,2,19456.412,0.0,1189.003,415300.0,1409.0079346816133,13.62990361018024
0,53.0,2,183755.02,3783.1914,0.0,154400.0,2271.466360897063,12.640449097143245
0,53.0,2,89715.68,0.0,0.0,63930.0,4389.302869757878,11.758691194381887
0,65.0,1,110253.01,5296.468,1080.9119,1386000.0,2372.7958048265505,14.83507963929206
0,50.0,1,24860.973,0.0,0.0,28310.0,5659.23825965012,10.944117558977824
0,64.0,1,0.0,1513.2766,0.0,300010.0,1041.799342542259,13.30471826697885
1,84.0,1,0.0,540.45593,34589.18,105700.0,14491.35130100429,12.26150735244065
0,56.0,1,55126.504,0.0,178350.45,564200.0,6975.013278319862,13.936311258110765
1,38.0,2,34589.18,0.0,0.0,143060.0,4066.289105139245,12.564166582234536
0,54.0,1,0.0,29000.863,0.0,4119400.0,675.0909921459488,15.924365260212474
0,49.0,1,0.0,150246.75,0.0,27749000.0,47.20567560557281,17.831857542031315
1,47.0,1,81068.39,0.0,0.0,269520.0,14823.988046491071,13.197545058643822
0,64.0,2,68097.445,0.0,2594.1885,139300.0,1543.4474939009192,12.537532340340729
0,44.0,3,56207.414,0.0,0.0,229500.0,8117.382203825591,13.03680548904743
0,35.0,2,57288.33,0.0,25941.883,188000.0,14556.745469269032,12.837344422379104
0,76.0,1,29184.62,1297094.2,55126.504,135775000.0,58.738822073779104,19.419656842445125
1,44.0,5,108091.18,0.0,21618.236,671340.0,1038.5063976572278,14.110178174590322
