age,employment_income,interest_dividend_income,pension_income,is_female,race,transformed_networth,wgt
70,0.0,54.04559118236473,38804.73446893787,1,1,14.611773737137405,1.0
70,0.0,54.04559118236473,37183.36673346694,1,1,10.518727244949927,1.0
70,0.0,54.04559118236473,32427.35470941884,1,1,5.8916518427631175,1.0
46,9836.29759519038,0.0,0.0,0,1,12.107356672621473,1.0
46,9836.29759519038,0.0,0.0,0,1,14.17069238776316,1.0
68,0.0,321030.81162324647,95120.24048096192,0,1,13.465385544891287,1.0
68,0.0,318577.14178356715,98362.9759519038,0,1,13.476142131432931,1.0
68,0.0,305465.68136272545,95120.24048096192,0,1,13.371408566243622,1.0
74,0.0,9512.024048096191,139437.625250501,1,1,13.100526682799332,1.0
74,0.0,6377.379759519038,139437.625250501,1,1,14.231856257169085,1.0
74,0.0,6377.379759519038,139437.625250501,1,1,14.143417646780824,1.0
74,0.0,5404.559118236473,139437.625250501,1,1,13.20560097597777,1.0
19,60531.0621242485,0.0,0.0,1,2,12.474571898579793,1.0
74,0.0,39453.28156312625,142680.36072144288,0,1,13.11927862444643,1.0
74,0.0,52424.22344689379,134141.15731462926,0,1,10.505067540321193,1.0
74,0.0,28644.163326653303,145382.6402805611,0,1,12.943236711512617,1.0
52,1080911.823647295,225910.57114228455,0.0,0,1,12.876002374920482,1.0
52,1064698.1462925852,214020.54108216436,0.0,0,1,13.830280936868697,1.0
60,0.0,0.0,25941.88376753507,1,2,-8.651374403467482,1.0
43,237800.6012024048,0.0,0.0,0,1,-8.389359871559241,1.0
43,237800.6012024048,0.0,0.0,0,1,13.583578500618575,1.0
43,237800.6012024048,0.0,0.0,0,1,14.277733999891444,1.0
43,237800.6012024048,0.0,0.0,0,1,11.948596415177295,1.0
67,0.0,0.0,27022.795591182366,0,1,16.24912391336473,1.0
67,0.0,0.0,27022.795591182366,0,1,15.82809088313691,1.0
67,0.0,0.0,27022.795591182366,0,1,6.551082375853484,1.0
67,0.0,0.0,27022.795591182366,0,1,14.319311566793663,1.0
46,185916.83366733463,0.0,0.0,0,1,-11.623392918076377,1.0
46,185916.83366733463,0.0,0.0,0,1,14.020815951149268,1.0
46,185916.83366733463,0.0,0.0,0,1,12.546750312646546,1.0
46,185916.83366733463,0.0,0.0,0,1,14.536126980514,1.0
51,34589.178356713426,0.0,0.0,1,1,9.95246817702446,1.0
51,37831.91382765531,0.0,0.0,1,1,12.437184366509308,1.0
51,35670.09018036072,0.0,0.0,1,1,11.034889664287377,1.0
77,0.0,3675.1002004008014,14592.309619238476,0,1,-11.691573616467831,1.0
77,0.0,2918.4619238476957,18699.7745490982,0,1,11.608417446512064,1.0
57,48641.03206412826,0.0,0.0,1,2,14.850827996260197,1.0
57,48641.03206412826,0.0,0.0,1,2,15.050923888124611,1.0
57,48641.03206412826,0.0,0.0,1,2,15.200679285796715,1.0
30,119981.2124248497,237.8006012024048,0.0,1,1,4.605270170991424,1.0
30,119981.2124248497,237.8006012024048,0.0,1,1,12.99996972919537,1.0
56,52964.67935871743,0.0,0.0,0,3,13.210374254730397,1.0
56,39993.7374749499,0.0,0.0,0,3,13.157344346303304,1.0
56,48641.03206412826,0.0,0.0,0,3,13.46396529184756,1.0
70,0.0,0.0,21618.236472945893,0,2,14.165885699754975,1.0
