age,employment_income,interest_dividend_income,pension_income,is_female,race,transformed_networth,wgt
70,0.0,54.04559118236473,38804.73446893787,1,1,,1.0
70,0.0,54.04559118236473,37183.36673346694,1,1,,1.0
70,0.0,54.04559118236473,32427.354709418836,1,1,,1.0
46,9836.29759519038,0.0,0.0,0,1,,1.0
46,9836.29759519038,0.0,0.0,0,1,,1.0
68,0.0,321030.81162324647,95120.24048096192,0,1,,1.0
68,0.0,318577.14178356715,98362.9759519038,0,1,,1.0
68,0.0,305465.68136272545,95120.24048096192,0,1,,1.0
74,0.0,9512.024048096193,139437.625250501,1,1,,1.0
74,0.0,6377.379759519038,139437.625250501,1,1,,1.0
74,0.0,6377.379759519038,139437.625250501,1,1,,1.0
74,0.0,5404.559118236473,139437.625250501,1,1,,1.0
19,60531.0621242485,0.0,0.0,1,2,,1.0
74,0.0,39453.28156312625,142680.36072144288,0,1,,1.0
74,0.0,52424.22344689379,134141.15731462926,0,1,,1.0
74,0.0,28644.163326653306,145382.6402805611,0,1,,1.0
52,1080911.8236472947,225910.57114228458,0.0,0,1,,1.0
52,1064698.1462925852,214020.54108216433,0.0,0,1,,1.0
60,0.0,0.0,25941.88376753507,1,2,,1.0
43,237800.6012024048,0.0,0.0,0,1,,1.0
43,237800.6012024048,0.0,0.0,0,1,,1.0
43,237800.6012024048,0.0,0.0,0,1,,1.0
43,237800.6012024048,0.0,0.0,0,1,,1.0
67,0.0,0.0,27022.795591182366,0,1,,1.0
67,0.0,0.0,27022.795591182366,0,1,,1.0
67,0.0,0.0,27022.795591182366,0,1,,1.0
67,0.0,0.0,27022.795591182366,0,1,,1.0
46,185916.83366733466,0.0,0.0,0,1,,1.0
46,185916.83366733466,0.0,0.0,0,1,,1.0
46,185916.83366733466,0.0,0.0,0,1,,1.0
46,185916.83366733466,0.0,0.0,0,1,,1.0
51,34589.178356713426,0.0,0.0,1,1,,1.0
51,37831.91382765531,0.0,0.0,1,1,,1.0
51,35670.09018036072,0.0,0.0,1,1,,1.0
77,0.0,3675.1002004008014,14592.309619238476,0,1,,1.0
77,0.0,2918.4619238476953,18699.774549098198,0,1,,1.0
57,48641.03206412826,0.0,0.0,1,2,,1.0
